#SOD    DOY YEAR  NSATS   RX-LAT[DEG]     RX-LON[DEG]   RX-ALT[m]       EPE[m]   NPE[m]   UPE[m]  SIG-EPE  SIG-NPE  SIG-UPE   GDOP      PDOP     TDOP     HDOP     VDOP
 365.0   6 2015    7    43.428561923     1.497032141   252.496600000    0.717   -0.534   -0.959    3.601    4.563    9.580    2.599    2.241    1.317    1.153    1.921
 370.0   6 2015    7    43.428562680     1.497027636   252.717700000    0.353   -0.450   -0.737    3.602    4.564    9.576    2.599    2.241    1.316    1.154    1.921
 375.0   6 2015    7    43.428561058     1.497028286   253.945600000    0.405   -0.630    0.491    3.603    4.566    9.572    2.598    2.240    1.316    1.154    1.920
 380.0   6 2015    7    43.428563545     1.497034966   254.010200000    0.946   -0.354    0.555    3.604    4.567    9.568    2.597    2.240    1.315    1.154    1.919
 385.0   6 2015    7    43.428558642     1.497031704   253.419300000    0.682   -0.899   -0.036    3.605    4.569    9.564    2.596    2.239    1.315    1.155    1.918
 390.0   6 2015    7    43.428555121     1.497039033   253.951900000    1.276   -1.290    0.497    3.606    4.570    9.560    2.596    2.239    1.314    1.155    1.918
 395.0   6 2015    7    43.428560133     1.497033406   254.036900000    0.820   -0.733    0.582    3.607    4.571    9.556    2.595    2.238    1.314    1.155    1.917
 400.0   6 2015    7    43.428561377     1.497029445   253.232100000    0.499   -0.595   -0.223    3.608    4.573    9.552    2.594    2.238    1.313    1.156    1.916
 405.0   6 2015    7    43.428565338     1.497031700   252.863200000    0.682   -0.155   -0.592    3.609    4.574    9.548    2.594    2.237    1.312    1.156    1.915
 410.0   6 2015    7    43.428561771     1.497031602   251.936500000    0.674   -0.551   -1.518    3.611    4.575    9.544    2.593    2.237    1.312    1.157    1.914
 415.0   6 2015    7    43.428562357     1.497029373   253.365400000    0.493   -0.486   -0.090    3.611    4.577    9.540    2.592    2.236    1.311    1.157    1.914
 420.0   6 2015    7    43.428563035     1.497033532   251.594800000    0.830   -0.411   -1.860    3.612    4.578    9.536    2.591    2.236    1.311    1.157    1.913
 425.0   6 2015    7    43.428561179     1.497027364   253.624400000    0.331   -0.617    0.169    3.614    4.580    9.532    2.591    2.235    1.310    1.157    1.912
 430.0   6 2015    7    43.428560539     1.497033415   252.742900000    0.821   -0.688   -0.712    3.615    4.581    9.528    2.590    2.235    1.310    1.158    1.911
 435.0   6 2015    7    43.428564522     1.497030851   253.209300000    0.613   -0.246   -0.246    3.616    4.583    9.524    2.589    2.234    1.309    1.158    1.911
 440.0   6 2015    7    43.428560729     1.497033572   253.342100000    0.833   -0.667   -0.113    3.617    4.584    9.521    2.589    2.234    1.308    1.159    1.910
 445.0   6 2015    7    43.428563840     1.497029136   253.387400000    0.474   -0.321   -0.068    3.618    4.586    9.517    2.588    2.233    1.308    1.159    1.909
